summariser,condition,task_name,scorer,count,mean,std,median,min,max,std_error,ci_lower,ci_upper
deepseek-reasoner,lens_single_cm,task_3,claude-3-7-sonnet-20250219,9,4.444,2.651,4.0,1,8,0.884,2.712,6.176
deepseek-reasoner,lens_single_cm,task_3,deepseek-reasoner,9,7.667,1.0,7.0,7,9,0.333,7.013,8.32
deepseek-reasoner,lens_single_cm,task_3,o3-mini-2025-01-31,9,7.333,1.5,8.0,4,9,0.5,6.353,8.313
deepseek-reasoner,lens_two_cm,task_1,claude-3-7-sonnet-20250219,9,8.111,0.928,8.0,7,9,0.309,7.505,8.717
deepseek-reasoner,lens_two_cm,task_1,deepseek-reasoner,9,8.556,0.527,9.0,8,9,0.176,8.211,8.9
deepseek-reasoner,lens_two_cm,task_1,o3-mini-2025-01-31,9,8.444,0.882,8.0,7,10,0.294,7.868,9.021
deepseek-reasoner,lens_two_cm,task_2,claude-3-7-sonnet-20250219,9,6.0,2.598,6.0,3,9,0.866,4.303,7.697
deepseek-reasoner,lens_two_cm,task_2,deepseek-reasoner,9,8.111,0.928,8.0,7,9,0.309,7.505,8.717
deepseek-reasoner,lens_two_cm,task_2,o3-mini-2025-01-31,9,6.556,1.509,6.0,4,9,0.503,5.57,7.542
deepseek-reasoner,lens_two_cm,task_3,claude-3-7-sonnet-20250219,9,7.111,1.453,6.0,6,9,0.484,6.162,8.06
deepseek-reasoner,lens_two_cm,task_3,deepseek-reasoner,9,7.778,0.667,8.0,7,9,0.222,7.342,8.213
deepseek-reasoner,lens_two_cm,task_3,o3-mini-2025-01-31,9,6.889,0.782,7.0,6,8,0.261,6.378,7.4
deepseek-reasoner,rm_ap,task_1,claude-3-7-sonnet-20250219,9,4.778,1.563,4.0,3,8,0.521,3.756,5.799
deepseek-reasoner,rm_ap,task_1,deepseek-reasoner,9,8.667,0.5,9.0,8,9,0.167,8.34,8.993
deepseek-reasoner,rm_ap,task_1,o3-mini-2025-01-31,9,3.667,0.866,3.0,3,5,0.289,3.101,4.232
deepseek-reasoner,rm_ap,task_2,claude-3-7-sonnet-20250219,9,8.111,0.928,8.0,7,9,0.309,7.505,8.717
deepseek-reasoner,rm_ap,task_2,deepseek-reasoner,9,8.667,0.5,9.0,8,9,0.167,8.34,8.993
deepseek-reasoner,rm_ap,task_2,o3-mini-2025-01-31,9,4.0,1.0,4.0,3,5,0.333,3.347,4.653
deepseek-reasoner,rm_ap,task_3,claude-3-7-sonnet-20250219,9,7.889,0.928,8.0,6,9,0.309,7.283,8.495
deepseek-reasoner,rm_ap,task_3,deepseek-reasoner,9,8.667,0.5,9.0,8,9,0.167,8.34,8.993
deepseek-reasoner,rm_ap,task_3,o3-mini-2025-01-31,9,4.556,1.424,5.0,3,7,0.475,3.625,5.486
deepseek-reasoner,rm_global,task_1,claude-3-7-sonnet-20250219,9,3.556,1.014,3.0,3,6,0.338,2.893,4.218
deepseek-reasoner,rm_global,task_1,deepseek-reasoner,9,7.444,1.944,8.0,3,9,0.648,6.175,8.714
deepseek-reasoner,rm_global,task_1,o3-mini-2025-01-31,9,5.444,1.13,6.0,3,7,0.377,4.706,6.183
deepseek-reasoner,rm_global,task_2,claude-3-7-sonnet-20250219,9,6.556,1.333,7.0,5,8,0.444,5.684,7.427
deepseek-reasoner,rm_global,task_2,deepseek-reasoner,9,5.111,1.965,5.0,2,7,0.655,3.827,6.395
deepseek-reasoner,rm_global,task_2,o3-mini-2025-01-31,9,5.889,2.472,6.0,3,9,0.824,4.274,7.504
deepseek-reasoner,rm_global,task_3,claude-3-7-sonnet-20250219,9,5.778,3.701,8.0,1,9,1.234,3.36,8.196
deepseek-reasoner,rm_global,task_3,deepseek-reasoner,9,4.111,3.333,3.0,1,9,1.111,1.933,6.289
deepseek-reasoner,rm_global,task_3,o3-mini-2025-01-31,9,4.667,3.202,6.0,1,9,1.067,2.575,6.758
deepseek-reasoner,rm_global_local,task_1,claude-3-7-sonnet-20250219,9,2.889,1.364,2.0,2,5,0.455,1.998,3.78
deepseek-reasoner,rm_global_local,task_1,deepseek-reasoner,9,8.111,1.167,9.0,6,9,0.389,7.349,8.873
deepseek-reasoner,rm_global_local,task_1,o3-mini-2025-01-31,9,6.444,1.509,7.0,4,8,0.503,5.458,7.43
deepseek-reasoner,rm_global_local,task_2,claude-3-7-sonnet-20250219,9,6.333,2.646,7.0,3,9,0.882,4.605,8.062
deepseek-reasoner,rm_global_local,task_2,deepseek-reasoner,9,6.778,2.108,7.0,4,9,0.703,5.4,8.155
deepseek-reasoner,rm_global_local,task_2,o3-mini-2025-01-31,9,6.889,2.472,8.0,3,9,0.824,5.274,8.504
deepseek-reasoner,rm_global_local,task_3,claude-3-7-sonnet-20250219,9,8.889,0.333,9.0,8,9,0.111,8.671,9.107
deepseek-reasoner,rm_global_local,task_3,deepseek-reasoner,9,7.889,1.167,8.0,6,9,0.389,7.127,8.651
deepseek-reasoner,rm_global_local,task_3,o3-mini-2025-01-31,9,9.222,0.667,9.0,8,10,0.222,8.787,9.658
deepseek-reasoner,rm_np,task_1,claude-3-7-sonnet-20250219,9,7.778,1.202,7.0,6,9,0.401,6.993,8.563
deepseek-reasoner,rm_np,task_1,deepseek-reasoner,9,9.0,0.0,9.0,9,9,0.0,9.0,9.0
deepseek-reasoner,rm_np,task_1,o3-mini-2025-01-31,9,6.667,1.0,7.0,5,8,0.333,6.013,7.32
deepseek-reasoner,rm_np,task_2,claude-3-7-sonnet-20250219,9,8.778,0.441,9.0,8,9,0.147,8.49,9.066
deepseek-reasoner,rm_np,task_2,deepseek-reasoner,9,9.0,0.0,9.0,9,9,0.0,9.0,9.0
deepseek-reasoner,rm_np,task_2,o3-mini-2025-01-31,9,5.333,1.118,5.0,4,7,0.373,4.603,6.064
deepseek-reasoner,rm_np,task_3,claude-3-7-sonnet-20250219,9,7.0,1.581,7.0,4,9,0.527,5.967,8.033
deepseek-reasoner,rm_np,task_3,deepseek-reasoner,9,9.0,0.0,9.0,9,9,0.0,9.0,9.0
deepseek-reasoner,rm_np,task_3,o3-mini-2025-01-31,9,4.667,1.414,5.0,3,7,0.471,3.743,5.591
template,template_global,task_1,claude-3-7-sonnet-20250219,9,2.0,0.0,2.0,2,2,0.0,2.0,2.0
template,template_global,task_1,deepseek-reasoner,9,2.0,0.5,2.0,1,3,0.167,1.673,2.327
template,template_global,task_1,o3-mini-2025-01-31,9,2.889,0.333,3.0,2,3,0.111,2.671,3.107
template,template_global,task_2,claude-3-7-sonnet-20250219,9,2.111,0.333,2.0,2,3,0.111,1.893,2.329
template,template_global,task_2,deepseek-reasoner,9,3.778,1.093,3.0,3,6,0.364,3.064,4.492
template,template_global,task_2,o3-mini-2025-01-31,9,3.333,0.5,3.0,3,4,0.167,3.007,3.66
template,template_global,task_3,claude-3-7-sonnet-20250219,9,2.667,0.5,3.0,2,3,0.167,2.34,2.993
template,template_global,task_3,deepseek-reasoner,9,3.0,0.0,3.0,3,3,0.0,3.0,3.0
template,template_global,task_3,o3-mini-2025-01-31,9,3.667,0.707,4.0,3,5,0.236,3.205,4.129
